Name,Address,Time,Date
Park Parthenia,"19100 Bryant Street Northridge, CA 91324",12:00 PM - 06:00 PM,11/02/2011 
Roxbury Park,"471 S. Roxbury Drive Beverly Hills, CA 90212",09:00 AM - 11:00 AM,11/02/2011 
St. Margaret Mary's,"25511 Eshelman Avenue Lomita, CA 90710",10:00 AM - 12:00 PM,11/02/2011 
Diamond Bar Community Center,"1600 S. Grand Avenue Diamond Bar, CA 91765",09:00 AM - 11:30 AM,11/03/2011 
Florence Firestone Senior Center,"7807 Compton Avenue Los Angeles, CA 90002",08:30 AM - 12:00 PM,11/03/2011 
Live Oak Park Community Center,"10144 Bogue Street Temple City, CA 91780",08:30 AM - 11:30 AM,11/03/2011 
South Gate Senior Center,"4855 Tweedy Blvd. South Gate, CA 90280",09:00 AM - 01:00 PM,11/03/2011 
City of Redondo Beach/Aviation Gym.,"1935 Manhattan Beach Blvd., Redondo Beach, CA 90278",11:00 AM - 02:00 PM,11/04/2011 
COC/City of Santa Clarita,"26455 Rockwell Canyon Santa Clarita, CA 91355",10:00 AM - 02:00 PM,11/04/2011 
Japanese American Community Center,"12953 Branford Street Pacoima, CA 91331",09:00 AM - 11:00 AM,11/04/2011 
Assi Market,"352 W. 8th Street Los Angeles, CA 90005",02:00 PM - 06:00 PM,11/05/2011 
Cesar Chavez Middle School,"3898 Abbot Road Lynwood, CA 90262",11:00 AM - 03:00 PM,11/05/2011 
Goodwill Retail,"1500 W. 6th Street Los Angeles, CA 90017",10:00 AM - 02:00 PM,11/05/2011 
Pacific Community Center,"501 S. Pacific Avenue Glendale, CA 91204",10:00 AM - 03:00 PM,11/05/2011 
Antelope Valley Church,"3830 West Avenue L-8 Quartz Hill, CA 93536",12:00 PM - 03:00 PM,11/06/2011 
Our Lady of Victory Church,"519 E. Palmer Street Compton, CA 90221",08:00 AM - 03:00 PM,11/06/2011 
St. Brendan's Catholic Church,"310 S. Van Ness Avenue Los Angeles, CA 90020",09:00 AM - 12:00 PM,11/06/2011 
St. Helen's Catholic Church,"3170 Firestone Blvd. South Gate, CA 90280",08:00 AM - 12:00 PM,11/06/2011 
United Against Diabetes - Olvera Street,"La Placita-Olvera, 845 N. Alameda Street Los Angeles, CA 90012",09:30 AM - 03:30 PM,11/06/2011 
Our Lady of Holy Rosary Church (auditorium),"7800 Vineland Avenue Sun Valley, CA 91352",09:00 AM - 11:00 AM,11/07/2011 
Torrance Recreational Center,"3341 Torrance Blvd. Torrance, CA 90503",09:00 AM - 12:00 PM,11/07/2011 
City of Hawthorne Community Center,"3901 El Segundo Blvd. Hawthorne, CA 90250",09:00 AM - 11:00 AM,11/08/2011 
"Herald Community Center, ESGV","18958 Daisetta Street, #303 Rowland Heights, CA 91748",12:00 PM - 04:00 PM,11/08/2011 
Jack Crippen Senior Center,"3130 N. Tyler Avenue El Monte, CA 91731",09:00 AM - 12:00 PM,11/08/2011 
Weingart Senior Center,"220 Oliva Avenue Lakewood, CA 90712",01:00 PM - 04:00 PM,11/08/2011 
City of Manhattan Beach/Joslyn Center,"601 Valley Drive Manhattan Beach, CA 90266",10:00 AM - 12:00 PM,11/09/2011 
Commerce Senior Center,"2555 S. Commerce Way Commerce, CA 90040",09:00 AM - 12:00 PM,11/09/2011 
CORE Church L.A.,"10601 W. Washington Blvd. Culver City, CA 90232",09:00 AM - 11:00 AM,11/09/2011 
Our Lady of Lourdes Parish Hall,"10275 Tujunga Canyon Blvd. Tujunga, CA 91042",09:00 AM - 11:00 AM,11/09/2011 
San Dimas Senior Center,"245 E. Bonita Avenue San Dimas, CA 91773",09:00 AM - 11:30 AM,11/09/2011 
Vaughn Charter,"11505 Herrick Street Pacoima, CA 91331",02:00 PM - 06:00 PM,11/09/2011 
West Valley Jewish Community Center,"22622 Vanowen Street West Hills, CA 91307",09:00 AM - 11:00 AM,11/09/2011 
Willow Brook Senior Center,"12915 Jarvis Avenue Los Angeles, CA 90059",09:00 AM - 12:00 PM,11/09/2011 
Azusa Senior Center,"740 N. Dalton Avenue Azusa, CA 91702",09:00 AM - 11:30 AM,11/10/2011 
Department of Mental Health,"529 S. Maple Street Los Angeles, CA 90013",09:00 AM - 12:00 PM,11/10/2011 
Lawndale Senior Center,"14701 Burin Avenue Lawndale, CA 90260",09:00 AM - 12:00 PM,11/10/2011 
Taylor Hall,"1775 N. Indian Hill Blvd. Claremont, CA 91711",09:00 AM - 12:00 PM,11/10/2011 
USC,"700 Childs Way Los Angeles, CA 90007",09:00 AM - 01:00 PM,11/10/2011 
Congregational Church,"2085 South Hobart Blvd. Los Angeles, CA 90018",11:00 AM - 04:00 PM,11/12/2011 
Oriental Mission Church,"424 N. Western Ave. LA. Los Angeles, CA 90004",09:00 AM - 02:00 PM,11/13/2011 
St. Emidyius Church,"10900 California Street Lynwood, CA 90262",07:00 AM - 02:00 PM,11/13/2011 
St. Lawerence Catholic Church,"10122 S. Compton Blvd. Los Angeles, CA 90002",08:00 AM - 02:00 PM,11/13/2011 
Adat Ari El Synagogue (auditorium),"12020 Burbank Blvd. Valley Village, CA 91607",09:00 AM - 11:00 AM,11/15/2011 
Community Resource Center,"10750 Laurel Avenue Whittier, CA 90605",09:00 AM - 12:00 PM,11/15/2011 
Palomares Senior Center,"499 E. Arrow Hwy. Pomona, CA 91767",09:00 AM - 11:30 AM,11/15/2011 
Peter Schbarum Senior Center,"1556 Central Avenue South El Monte, CA 91733",09:00 AM - 12:00 PM,11/15/2011 
Burbank High School,"902 N. 3rd Street Burbank, CA 91502",11:30 AM - 03:30 PM,11/16/2011 
Dollarhide Senior Center,"1108 Oleander Avenue Compton, CA 90222",08:00 AM - 12:00 PM,11/16/2011 
Holycross Church,"4707 S. Main Street Los Angeles, CA 90037",08:00 AM - 02:00 PM,11/16/2011 
ONE Generation,"18255 Victory Blvd. Reseda, CA 91335",09:00 AM - 11:00 AM,11/16/2011 
St. Charles Borromeo Church Holy Family Service Ctr.,"10825 Moorpark Street North Hollywood, CA 91602",09:00 AM - 11:00 AM,11/16/2011 
Val Verde Park,"30300 Arlington Street Val Verde, CA 91384",04:30 PM - 06:30 PM,11/16/2011 
Veterans Memorial Building,"4117 Overland Avenue Culver City, CA 90232",09:00 AM - 11:00 AM,11/16/2011 
Centro Maravilla,"4716 E. Cesar Chavez Avenue Los Angeles, CA 90022",09:00 AM - 12:00 PM,11/17/2011 
Lennox Senior Center,"10828 Condon Avenue Lennox, CA 90304",09:00 AM - 12:00 PM,11/17/2011 
Northgate Market,"311 W. Pacific Coast Highway Wilmington, CA 90744",10:00 AM - 12:00 PM,11/17/2011 
Rosemead Community Center,"3936 Muscatel Street Rosemead, CA 91770",09:00 AM - 11:30 AM,11/17/2011 
United Methodist Church,"1008 11th Street Santa Monica, CA 90403",09:00 AM - 11:00 AM,11/17/2011 
Arcadia Community Center,"365 Campus Drive Arcadia, CA 91007",09:00 AM - 11:30 AM,11/18/2011 
Ken Nakaoka Center,"1670 West 162nd Street Gardena, CA 90247",10:00 AM - 12:00 AM,11/18/2011 
Sacred Heart Church,"45007 N. Cedar Avenue Lancaster, CA 93534",10:00 AM - 01:00 PM,11/20/2011 
St. Aloyius Catholic Church,"7814 . Crockett Street Los Angeles, CA 90001",08:00 AM - 01:00 PM,11/20/2011 
St. Matthias Catholic Church,"3095 E. Florence Blvd. Huntington Park, CA 90255",08:00 AM - 12:00 PM,11/20/2011 
South Pasadena Senior Center,"1102 Oxley Street South Pasadena, CA 91030",09:00 AM - 12:00 PM,11/22/2011 
Westchester Senior Center,"8740 Lincoln Blvd. Los Angeles, CA 90045",09:00 AM - 11:00 AM,11/30/2011 
Inglewood Senior Center,"330 Centinela Avenue Inglewood, CA 90301",10:00 AM - 12:00 PM,12/01/2011 
Langley Senior Center,"400 W. Emerson Avenue Monterey Park, CA 91754",09:00 AM - 12:00 PM,12/01/2011 
Santa Clarita Senior Center,"22900 Market Street Santa Clarita, CA 91384",09:00 AM - 12:00 PM,12/02/2011 
Olympic Seven Day Adventist Church,"3300 W. Adams Blvd. Los Angeles, CA 90018",08:00 AM - 01:00 PM,12/03/2011 
Palmdale WIC,"37926 47th Street East, Suite J Palmdale, CA 93550",09:00 AM - 11:00 AM,12/06/2011 
LA Care Family Resource Center,"3111 W. Century Blvd. Inglewood, CA 90303",10:00 AM - 12:00 PM,12/08/2011 
Lancaster Senior Center,"777 W. Jackman Lancaster, CA 93534",02:00 PM - 04:30 PM,12/12/2011 
