Name,Address,Time,Date,Lat,Lng
Cardenas Community Health and Safety Fair,"6100 Woodley Avenue Lake Balboa, CA 91406",09:00 AM - 01:00 PM,10/29/2011 ,34.1826764,-118.4808077
HK Market,"831 N. Pacific Avenue, # A Glendale, CA 91203",02:00 PM - 06:00 PM,10/29/2011 ,34.1585327,-118.2641359
Little Company of Mary San Pedro,"1300 W. 7th Street San Pedro, CA 90731",09:00 AM - 12:00 PM,10/29/2011 ,33.738187,-118.303743
New Life in Christ,"8301 S. Central Los Angeles, CA 90001",09:00 AM - 01:00 PM,10/29/2011 ,33.970584,-118.277914
Union Church,"401 E. 3rd Street Los Angeles, CA 90013",08:30 AM - 12:00 PM,10/29/2011 ,34.0473069,-118.2422393
Glory Church of Jesus Christ,"1801 S. Grand Avenue Los Angeles, CA 90015",09:00 AM - 02:00 PM,10/30/2011 ,34.033687,-118.268393
Highlands Church,"39625 20th Street West Palmdale, CA 93551",09:00 AM - 12:00 PM,10/30/2011 ,34.601842,-118.1654818
Holy Name Church,"1955 W. Jefferson Blvd. Los Angeles, CA 90018",09:00 AM - 01:00 PM,10/30/2011 ,34.0256788,-118.3136933
St. Brigid Catholic Church,"5214 S. Western Avenue Los Angeles, CA 90062",08:00 AM - 02:00 PM,10/30/2011 ,33.9949759,-118.3088956
Youngnak Presbyterian Church,"1721 N Broadway Avenue Los Angeles, CA 90031",09:00 AM - 12:00 PM,10/30/2011 ,34.072362,-118.223347
Esther Snyder Senior Center,"4100 Baldwin Park Blvd. Baldwin Park, CA 91706",09:00 AM - 12:00 PM,10/31/2011 ,34.085845,-117.964368
Bell Community Center,"6250 Pine Avenue Bell, CA 90201",12:00 PM - 04:00 PM,11/01/2011 ,33.9801068,-118.1886257
Joslyn Senior Center,"1301 W. Olive Avenue Burbank, CA 91506",09:00 AM - 11:00 AM,11/01/2011 ,34.171924,-118.319878
Korean Federation,"981 S. Western Avenue Los Angeles, CA 90006",09:00 AM - 12:00 PM,11/01/2011 ,34.053232,-118.309406
Seinan Senior Center,"3116 W. Jefferson Blvd. Los Angeles, CA 90018",09:00 AM - 01:00 PM,11/01/2011 ,34.0255832,-118.3300567
Walnut Senior Center,"21215 La Puente Road Walnut, CA 91789",09:00 AM - 11:30 AM,11/01/2011 ,34.026757,-117.841288
City of Hermosa Bch/Clark Stadium,"861 Valley Drive Hermosa Beach, CA 90245",10:00 AM - 12:00 PM,11/02/2011 ,33.8608036,-118.3942217
La Mirada Activity Center,"13810 La Mirada Blvd. La Mirada, CA 90638",01:00 PM - 04:00 PM,11/02/2011 ,33.9050924,-118.0101183
La Puente Senior Center,"16001 E. Main Street La Puente, CA 91744",09:00 AM - 11:30 AM,11/02/2011 ,34.0202279,-117.9488026
Norwalk Senior Center,"14040 San Antonio Drive Norwalk, CA 90650",09:00 AM - 12:00 PM,11/02/2011 ,33.9037648,-118.0807772
Park Parthenia,"19100 Bryant Street Northridge, CA 91324",12:00 PM - 06:00 PM,11/02/2011 ,34.22697,-118.549414
Roxbury Park,"471 S. Roxbury Drive Beverly Hills, CA 90212",09:00 AM - 11:00 AM,11/02/2011 ,34.0575053,-118.4058603
St. Margaret Mary's,"25511 Eshelman Avenue Lomita, CA 90710",10:00 AM - 12:00 PM,11/02/2011 ,33.791648,-118.315354
Diamond Bar Community Center,"1600 S. Grand Avenue Diamond Bar, CA 91765",09:00 AM - 11:30 AM,11/03/2011 ,33.9962416,-117.7988881
Florence Firestone Senior Center,"7807 Compton Avenue Los Angeles, CA 90002",08:30 AM - 12:00 PM,11/03/2011 ,33.967735,-118.248058
Live Oak Park Community Center,"10144 Bogue Street Temple City, CA 91780",08:30 AM - 11:30 AM,11/03/2011 ,34.1032365,-118.0482294
South Gate Senior Center,"4855 Tweedy Blvd. South Gate, CA 90280",09:00 AM - 01:00 PM,11/03/2011 ,33.9420351,-118.1856151
City of Redondo Beach/Aviation Gym.,"1935 Manhattan Beach Blvd., Redondo Beach, CA 90278",11:00 AM - 02:00 PM,11/04/2011 ,33.8882061,-118.3781785
COC/City of Santa Clarita,"26455 Rockwell Canyon Santa Clarita, CA 91355",10:00 AM - 02:00 PM,11/04/2011 ,34.4043507,-118.5682927
Japanese American Community Center,"12953 Branford Street Pacoima, CA 91331",09:00 AM - 11:00 AM,11/04/2011 ,34.240812,-118.415248
Assi Market,"352 W. 8th Street Los Angeles, CA 90005",02:00 PM - 06:00 PM,11/05/2011 ,34.0442914,-118.2555579
Cesar Chavez Middle School,"3898 Abbot Road Lynwood, CA 90262",11:00 AM - 03:00 PM,11/05/2011 ,33.935521,-118.2046737
Goodwill Retail,"1500 W. 6th Street Los Angeles, CA 90017",10:00 AM - 02:00 PM,11/05/2011 ,34.056855,-118.268809
Pacific Community Center,"501 S. Pacific Avenue Glendale, CA 91204",10:00 AM - 03:00 PM,11/05/2011 ,34.1394904,-118.2645745
Antelope Valley Church,"3830 West Avenue L-8 Quartz Hill, CA 93536",12:00 PM - 03:00 PM,11/06/2011 ,34.6821212,-118.1932089
Our Lady of Victory Church,"519 E. Palmer Street Compton, CA 90221",08:00 AM - 03:00 PM,11/06/2011 ,33.8983442,-118.2178473
St. Brendan's Catholic Church,"310 S. Van Ness Avenue Los Angeles, CA 90020",09:00 AM - 12:00 PM,11/06/2011 ,34.068501,-118.314832
St. Helen's Catholic Church,"3170 Firestone Blvd. South Gate, CA 90280",08:00 AM - 12:00 PM,11/06/2011 ,33.954576,-118.213699
United Against Diabetes - Olvera Street,"La Placita-Olvera, 845 N. Alameda Street Los Angeles, CA 90012",09:30 AM - 03:30 PM,11/06/2011 ,34.0578332,-118.2373956
Our Lady of Holy Rosary Church (auditorium),"7800 Vineland Avenue Sun Valley, CA 91352",09:00 AM - 11:00 AM,11/07/2011 ,34.2126949,-118.369354
Torrance Recreational Center,"3341 Torrance Blvd. Torrance, CA 90503",09:00 AM - 12:00 PM,11/07/2011 ,33.8373367,-118.3440664
City of Hawthorne Community Center,"3901 El Segundo Blvd. Hawthorne, CA 90250",09:00 AM - 11:00 AM,11/08/2011 ,33.9164442,-118.3417127
"Herald Community Center, ESGV","18958 Daisetta Street, #303 Rowland Heights, CA 91748",12:00 PM - 04:00 PM,11/08/2011 ,33.989808,-117.890446
Jack Crippen Senior Center,"3130 N. Tyler Avenue El Monte, CA 91731",09:00 AM - 12:00 PM,11/08/2011 ,34.06572,-118.035218
Weingart Senior Center,"220 Oliva Avenue Lakewood, CA 90712",01:00 PM - 04:00 PM,11/08/2011 ,33.8600527,-118.1444278
City of Manhattan Beach/Joslyn Center,"601 Valley Drive Manhattan Beach, CA 90266",10:00 AM - 12:00 PM,11/09/2011 ,33.8824029,-118.404847
Commerce Senior Center,"2555 S. Commerce Way Commerce, CA 90040",09:00 AM - 12:00 PM,11/09/2011 ,33.9998748,-118.1556422
CORE Church L.A.,"10601 W. Washington Blvd. Culver City, CA 90232",09:00 AM - 11:00 AM,11/09/2011 ,34.017443,-118.405223
Our Lady of Lourdes Parish Hall,"10275 Tujunga Canyon Blvd. Tujunga, CA 91042",09:00 AM - 11:00 AM,11/09/2011 ,34.254671,-118.291603
San Dimas Senior Center,"245 E. Bonita Avenue San Dimas, CA 91773",09:00 AM - 11:30 AM,11/09/2011 ,34.107239,-117.803693
Vaughn Charter,"11505 Herrick Street Pacoima, CA 91331",02:00 PM - 06:00 PM,11/09/2011 ,34.2791052,-118.4232714
West Valley Jewish Community Center,"22622 Vanowen Street West Hills, CA 91307",09:00 AM - 11:00 AM,11/09/2011 ,34.19285,-118.620266
Willow Brook Senior Center,"12915 Jarvis Avenue Los Angeles, CA 90059",09:00 AM - 12:00 PM,11/09/2011 ,33.914963,-118.272288
Azusa Senior Center,"740 N. Dalton Avenue Azusa, CA 91702",09:00 AM - 11:30 AM,11/10/2011 ,34.1354292,-117.9048701
Department of Mental Health,"529 S. Maple Street Los Angeles, CA 90013",09:00 AM - 12:00 PM,11/10/2011 ,34.0450035,-118.2469856
Lawndale Senior Center,"14701 Burin Avenue Lawndale, CA 90260",09:00 AM - 12:00 PM,11/10/2011 ,33.8986214,-118.3538192
Taylor Hall,"1775 N. Indian Hill Blvd. Claremont, CA 91711",09:00 AM - 12:00 PM,11/10/2011 ,34.1157004,-117.7203312
USC,"700 Childs Way Los Angeles, CA 90007",09:00 AM - 01:00 PM,11/10/2011 ,34.019657,-118.28398
Congregational Church,"2085 South Hobart Blvd. Los Angeles, CA 90018",11:00 AM - 04:00 PM,11/12/2011 ,34.038125,-118.307535
Oriental Mission Church,"424 N. Western Ave. LA. Los Angeles, CA 90004",09:00 AM - 02:00 PM,11/13/2011 ,34.0790076,-118.3091243
St. Emidyius Church,"10900 California Street Lynwood, CA 90262",07:00 AM - 02:00 PM,11/13/2011 ,33.9340076,-118.2084082
St. Lawerence Catholic Church,"10122 S. Compton Blvd. Los Angeles, CA 90002",08:00 AM - 02:00 PM,11/13/2011 ,33.94455,-118.246091
Adat Ari El Synagogue (auditorium),"12020 Burbank Blvd. Valley Village, CA 91607",09:00 AM - 11:00 AM,11/15/2011 ,34.171987,-118.394959
Community Resource Center,"10750 Laurel Avenue Whittier, CA 90605",09:00 AM - 12:00 PM,11/15/2011 ,33.936104,-118.0488354
Palomares Senior Center,"499 E. Arrow Hwy. Pomona, CA 91767",09:00 AM - 11:30 AM,11/15/2011 ,34.0900645,-117.742517
Peter Schbarum Senior Center,"1556 Central Avenue South El Monte, CA 91733",09:00 AM - 12:00 PM,11/15/2011 ,34.0461683,-118.0466836
Burbank High School,"902 N. 3rd Street Burbank, CA 91502",11:30 AM - 03:30 PM,11/16/2011 ,34.1882167,-118.3131198
Dollarhide Senior Center,"1108 Oleander Avenue Compton, CA 90222",08:00 AM - 12:00 PM,11/16/2011 ,33.9034176,-118.2300106
Holycross Church,"4707 S. Main Street Los Angeles, CA 90037",08:00 AM - 02:00 PM,11/16/2011 ,34.0007938,-118.2739873
ONE Generation,"18255 Victory Blvd. Reseda, CA 91335",09:00 AM - 11:00 AM,11/16/2011 ,34.1866367,-118.5306692
St. Charles Borromeo Church Holy Family Service Ctr.,"10825 Moorpark Street North Hollywood, CA 91602",09:00 AM - 11:00 AM,11/16/2011 ,34.1503778,-118.3667941
Val Verde Park,"30300 Arlington Street Val Verde, CA 91384",04:30 PM - 06:30 PM,11/16/2011 ,34.4469831,-118.6645183
Veterans Memorial Building,"4117 Overland Avenue Culver City, CA 90232",09:00 AM - 11:00 AM,11/16/2011 ,34.0137257,-118.4024378
Centro Maravilla,"4716 E. Cesar Chavez Avenue Los Angeles, CA 90022",09:00 AM - 12:00 PM,11/17/2011 ,34.040124,-118.164516
Lennox Senior Center,"10828 Condon Avenue Lennox, CA 90304",09:00 AM - 12:00 PM,11/17/2011 ,33.9373999,-118.358556
Northgate Market,"311 W. Pacific Coast Highway Wilmington, CA 90744",10:00 AM - 12:00 PM,11/17/2011 ,33.7921102,-118.2664346
Rosemead Community Center,"3936 Muscatel Street Rosemead, CA 91770",09:00 AM - 11:30 AM,11/17/2011 ,34.0794945,-118.0775631
United Methodist Church,"1008 11th Street Santa Monica, CA 90403",09:00 AM - 11:00 AM,11/17/2011 ,34.0266826,-118.4944926
Arcadia Community Center,"365 Campus Drive Arcadia, CA 91007",09:00 AM - 11:30 AM,11/18/2011 ,34.130875,-118.0433886
Ken Nakaoka Center,"1670 West 162nd Street Gardena, CA 90247",10:00 AM - 12:00 AM,11/18/2011 ,33.8837588,-118.3064926
Sacred Heart Church,"45007 N. Cedar Avenue Lancaster, CA 93534",10:00 AM - 01:00 PM,11/20/2011 ,34.700158,-118.140174
St. Aloyius Catholic Church,"7814 . Crockett Street Los Angeles, CA 90001",08:00 AM - 01:00 PM,11/20/2011 ,33.968106,-118.236606
St. Matthias Catholic Church,"3095 E. Florence Blvd. Huntington Park, CA 90255",08:00 AM - 12:00 PM,11/20/2011 ,33.9731034,-118.2127164
South Pasadena Senior Center,"1102 Oxley Street South Pasadena, CA 91030",09:00 AM - 12:00 PM,11/22/2011 ,34.1137261,-118.1561502
Westchester Senior Center,"8740 Lincoln Blvd. Los Angeles, CA 90045",09:00 AM - 11:00 AM,11/30/2011 ,33.9591058,-118.4184629
Inglewood Senior Center,"330 Centinela Avenue Inglewood, CA 90301",10:00 AM - 12:00 PM,12/01/2011 ,33.9707994,-118.3479459
Langley Senior Center,"400 W. Emerson Avenue Monterey Park, CA 91754",09:00 AM - 12:00 PM,12/01/2011 ,34.065775,-118.128361
Santa Clarita Senior Center,"22900 Market Street Santa Clarita, CA 91384",09:00 AM - 12:00 PM,12/02/2011 ,34.3751729,-118.529344
Olympic Seven Day Adventist Church,"3300 W. Adams Blvd. Los Angeles, CA 90018",08:00 AM - 01:00 PM,12/03/2011 ,34.032597,-118.3202343
Palmdale WIC,"37926 47th Street East, Suite J Palmdale, CA 93550",09:00 AM - 11:00 AM,12/06/2011 ,34.5722188,-118.044966
LA Care Family Resource Center,"3111 W. Century Blvd. Inglewood, CA 90303",10:00 AM - 12:00 PM,12/08/2011 ,33.945887,-118.326899
Lancaster Senior Center,"777 W. Jackman Lancaster, CA 93534",02:00 PM - 04:30 PM,12/12/2011 ,34.70206,-118.144681
